EXTraS_Ape_v0.OBS_ID,EXTraS_Ape_v0.XMM_RA,EXTraS_Ape_v0.XMM_DEC,EXTraS_Ape_v0.XMM_EP_8_FLUX,EXTraS_Ape_v0.XMM_EP_8_FLUX_ERR,main_id,ra,dec,otype,main_type,other_types,plx,plx_err,B,V,R,J,H,K,u,g,r,i,z,distance_pc,distance_ly,distance_cm,XLuminosity,VisibleLuminosity,name,class,id_type,scale,b1,b2,r1,r2,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25,flux_26,flux_27,flux_28,flux_29,flux_30,flux_31,flux_32,flux_33,flux_34,flux_35,flux_36,flux_37,flux_38,flux_39,flux_40,flux_41,flux_42,flux_43,flux_44,flux_45,flux_46,flux_47,flux_48,flux_49,flux_50,flux_51,flux_52,flux_53,flux_54,flux_55,flux_56,flux_57,flux_58,flux_59,flux_60,flux_61,flux_62,flux_63,flux_64,flux_65,flux_66,flux_67,flux_68,flux_69,flux_70,flux_71,flux_72,flux_73,flux_74,flux_75,flux_76,flux_77,flux_78,flux_79,flux_80,flux_81,flux_82,flux_83,flux_84,flux_85,flux_86,flux_87,flux_88,flux_89,flux_90,flux_91,flux_92
411780701.0,329.717,-30.2254,2.524300039830063e-11,6.074540149321114e-14,QSO B2155-304,329.7169384375,-30.2255884577,BLL,BLLac,UV|X|V*|AGN|smm|Opt|cm|Bla|BL?|G|gam|NIR|*|QSO|MIR|BLL|Rad|Bz?,0.0158,0.0191,13.36,13.09,12.62,11.398,10.46,10.134,,,,,,63291.13924050632,206427.8481012658,1.952960493670885e+23,1.2098673429095002e+37,8.740926982176939e+37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412580801.0,82.187,-65.4482,5.650739945406435e-11,2.045230033508733e-13,V* AB Dor,82.1869634025,-65.4486664298,TT*,TTauri*,UV|V*|X|PM*|Er*|Ro*|NIR|IR|*|MIR|**|TT*|Em*,67.3331,0.4414,7.856,6.999,6.496,5.316,4.845,4.686,,,,,,14.851536614235792,48.439177759526885,4.582705355909649e+19,1.4912795263439457e+30,1.1356198641307815e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412981701.0,15.7798,-71.8608,4.282909950629153e-14,1.8822999934978504e-14,2MASS J01030720-7151420,15.7800002435,-71.8616534936,RB?,RGB*_Candidate,NIR|*|MIR|RB?,1.8406,0.0342,17.96,16.62,,14.111,13.399,13.156,,,,,,543.3010974682169,1772.0091274584374,1.6764520156470717e+21,1.5126242617845242e+30,3.71240176102921e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412981701.0,15.4092,-71.9036,2.722709990137569e-14,1.4412699278400914e-14,UCAC4 091-002858,15.4076734948,-71.9045310279,*,Star,X|NIR|*,11.1827,0.1987,13.06,11.88,11.7,9.89,9.32,9.18,,,,,,89.4238421848033,291.66122671626704,2.759331449471058e+20,2.605067558578785e+28,4.873920482838554e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412982301.0,15.8995,-72.0564,1.107770017209908e-14,3.665560066714929e-15,SMC AB  7,15.8996838901,-72.0561440559,WR*,WolfRayet*,X|V*|SB*|*|MIR|s?b|WR*,0.0169,0.0252,12.954,13.016,,13.43,13.42,13.42,,,,,,59171.5976331361,192991.71597633127,1.825844721893492e+23,4.64073907787212e+33,5.826364419223101e+37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414180601.0,80.8073,-69.5611,2.089239968094264e-14,6.412910160584831e-15,TYC 9166-446-1,80.8067214402,-69.5619776161,*,Star,X|NIR|*|MIR,4.464,0.0105,11.25,10.85,10.49,9.789,9.594,9.54,,,,10.527,,224.0143369175627,730.6362007168458,6.912360170250895e+20,1.2544429285610663e+29,1.820359725314402e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414180601.0,80.9416,-69.6971,1.2366599714749849e-14,6.2521200137899145e-15,OGLE LMC-LPV-50288,80.9431404156,-69.6973156448,LP*,LongPeriodV*,NIR|*|LP*,0.0035,0.0304,,16.703,,13.777,12.943,12.742,,,,,,285714.2857142857,931874.2857142856,8.816221657142856e+23,1.2078838345139968e+35,1.2059226680240669e+38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414180601.0,81.7713,-69.5222,9.609470201987422e-15,1.0400399921980334e-14,OGLE LMC-SC4 462368,81.7684453534,-69.521537241,RR*,RRLyrae,RR*|V*|RR?|*,0.2401,0.4017,19.77,19.39,,,,,,,,,,4164.931278633902,13584.17326114119,1.2851635068721366e+22,1.9944634334184736e+31,2.109686861776861e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414191001.0,187.155,1.95566,8.488830027363754e-14,1.3661499638798966e-14,GSC 00282-00187,187.1550368194,1.9556274079,Em*,EmLine*,X|PM*|Opt|NIR|*|Em*,6.2359,0.0479,,13.77,,10.901,10.263,10.037,17.195,14.684,13.341,14.642,12.134,160.36177616703282,523.0295546753475,4.948247374075915e+20,2.6119238287086525e+29,4.884676281674585e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414191001.0,187.472,2.13685,2.099979939289634e-13,3.9608700569621416e-14,QSO B1227+0224,187.4721908746,2.1366467245,QSO,QSO,X|AGN|Opt|*|QSO|Rad,0.5262,0.635,20.17,19.95,,,,,20.44,20.029,19.93,19.653,19.711,1900.418091980236,6198.327632079057,5.864077499049791e+21,9.074535679830528e+31,8.81738201732483e+30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414191001.0,187.395,1.94939,1.0993599964832097e-13,2.86089985794373e-14,[VV2006] J122934.8+015658,187.3946978918,1.9494827039,QSO,QSO,AGN|X|Opt|*|QSO,0.0191,0.1766,19.03,18.9,,,,,18.617,18.692,18.76,18.542,18.431,52356.02094240838,170762.30366492146,1.615538e+23,3.605654830606359e+34,5.267516105601812e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414191201.0,187.118,1.9135,3.1540098495170393e-14,1.4898499778705568e-14,UCAC4 460-050408,187.1186669897,1.9137117704,*,Star,X|Opt|NIR|*,3.2457,0.0271,13.367,12.643,12.5,11.169,10.779,10.674,14.72,12.926,12.435,12.326,12.369,308.0999476230089,1004.8864651693008,9.506971007794927e+20,3.58226119236454e+29,2.224336822361876e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510390601.0,128.719,-45.2561,4.0246499438244966e-14,2.0970599456699053e-14,CD-44  4551,128.7195906582,-45.2560848693,*,Star,NIR|*,1.6549,0.0293,10.49,10.46,,10.187,10.196,10.151,,,,,,604.2661187987189,1970.8502024291497,1.864570415130824e+21,1.7583104385739936e+30,6.673157736734283e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561380501.0,120.896,-40.0031,1.5882800283306686e-11,3.417150121350597e-14,* zet Pup,120.8960314098,-40.0031477983,BY*,BYDraV*,Em*|Pu*|UV|V*|X|BY*|NIR|*|IR|Rad,3.01,0.1,1.98,2.25,2.36,2.76,2.82,2.9,,,,,,332.22591362126246,1083.5747508305649,1.0251420531561462e+21,2.0975148189302423e+32,2.83026690716177e+37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604870337.0,354.796,-54.5876,3.0379998782479115e-14,2.1777400033024672e-14,L  216-18,354.7938233533,-54.5879731125,PM*,HighPM*,PM*|Er*|NIR|*|MIR,21.8023,0.1149,14.49,13.06,12.6,9.715,9.101,8.865,,13.75,12.45,11.47,,45.8667204836187,149.5970608605514,1.41529911064429e+20,7.647052709054978e+27,1.0576994591321398e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604870337.0,354.826,-54.4864,2.223260062107681e-14,3.743380117601086e-14,CD-55  9354,354.8251755558,-54.4864392155,PM*,HighPM*,PM*|NIR|*,7.4395,0.0325,11.39,10.64,,9.556,9.213,9.139,,,,,,134.4176355937899,438.4111835472813,4.147694845083675e+20,4.806331532264312e+28,2.977992829480727e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604870343.0,355.097,-53.4823,2.508830003553758e-13,4.351429833864343e-14,3XLSS J234023.1-532857,355.0967820216,-53.4822514776,Sy1,Seyfert1,X|AGN|G|*|QSO|Sy1,0.0022,0.1052,18.53,17.6,17.66,,,,,17.75,18.03,17.47,17.11,454545.4545454545,1482527.2727272725,1.402580718181818e+24,6.202072336722824e+36,6.302272099971127e+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604870344.0,355.302,-53.6943,1.785139961199556e-13,7.53624999861799e-14,CRTS J234112.5-534139,355.3021400512,-53.6942195083,EB*,EclBin,NIR|*|MIR|EB*,2.4749,0.0117,13.308,12.638,12.665,11.32,10.971,10.909,,12.942,12.463,12.304,,404.0567295648309,1317.8552668794698,1.2467887914663218e+21,3.4871282058676845e+30,2.9478483979895993e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604870347.0,356.023,-54.2066,1.2599999643365771e-14,7.620130316131866e-15,HD 222829,356.0224195512,-54.2070244227,**,**,NIR|*|**,3.1685,0.588,9.992,9.524,,7.792,7.568,7.491,,10.303,9.377,8.572,,315.60675398453526,1029.3703645258008,9.73860684866656e+20,1.5016684762761567e+29,4.273664158750574e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604870347.0,356.268,-53.9928,2.6694700730510802e-14,4.561689838800814e-14,HD 222924,356.2690550347,-53.9931806354,*,Star,NIR|*,2.7664,0.0303,10.75,10.13,,9.127,8.901,8.822,,,,,,361.4806246385194,1178.9907460960092,1.1154126590514748e+21,4.173554207276516e+29,3.391622462473417e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671010401.0,83.6827,-67.8772,7.0024501740715075e-15,2.887470095652972e-15,TYC 9162-317-1,83.6826315177,-67.8783514704,*,Star,NIR|*,3.4534,0.0107,12.4,12.64,11.16,10.925,10.469,10.382,,,,,,289.569699426652,944.448948861991,8.935187293681589e+20,7.025337811068365e+28,3.9102659199941936e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671090101.0,78.432,-67.3748,5.654810167078075e-15,3.329849993015475e-15,HD  34632,78.4323805756,-67.3748286097,WR*,WolfRayet*,NIR|*|MIR|Em*|WR*,0.0076,0.0329,13.002,13.07,13.41,13.3,13.29,13.29,,12.88,13.2,,,131578.94736842104,429152.6315789473,4.060102078947368e+23,1.171390775342151e+34,1.2097443836127832e+38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671150501.0,206.952,17.5789,9.024350006419521e-14,1.9788100804750585e-14,PB  4089,206.9525442096,17.578467424,QSO,QSO,AGN|X|Opt|NIR|*|QSO,0.049,0.1492,18.39,18.16,,16.539,15.887,15.5,18.161,17.919,17.787,17.644,17.661,20408.16326530612,66562.44897959182,6.2973011836734685e+22,4.497122574226505e+33,9.15964292853676e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671150501.0,206.862,17.3073,3.4374501129644935e-14,1.2018299766838882e-14,V* AQ Boo,206.8621547384,17.3069882138,EB*,EclBin,X|V*|Opt|NIR|*|EB*|EB?,2.4768,0.0145,12.52,12.15,,11.27,10.943,10.88,14.984,16.312,14.594,12.925,13.287,403.7467700258398,1316.844315245478,1.24583235626615e+21,6.70448587426191e+29,2.701825755459115e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671150701.0,206.619,17.6165,3.709059968881601e-12,2.1631900101477122e-13,2MASS J13462861+1736592,206.6192414115,17.6164779308,Sy1,Seyfert1,AGN|Opt|NIR|*|Sy1,0.1071,0.2006,20.26,19.63,,16.622,16.033,15.258,19.918,19.506,18.743,17.987,18.204,9337.068160597571,30453.40802987861,2.8811181886087767e+22,3.868974501721284e+34,1.1375629405828887e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671170101.0,274.166,-24.097,1.733160022562765e-14,2.808689932921101e-14,OGLE BLG-LPV-229510,274.1672694642,-24.0963957082,LP*,LongPeriodV*,NIR|*|LP*|LP?,0.1126,0.0544,,17.199,,9.915,8.795,8.333,,,,,,8880.994671403198,28965.89698046181,2.740388614564832e+22,1.6355839341729155e+32,3.714977757698012e+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671230201.0,299.29,45.0644,3.97528012027401e-14,4.702850166449701e-15,HD 189255,299.2897445476,45.0641449532,Er*,Eruptive*,Er*|NIR|*,1.2769,0.0129,10.53,9.4,,7.426,6.89,6.796,,,,,,783.146683373796,2554.279896624638,2.416538162737881e+21,2.917191348986748e+30,4.34409042629705e+35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671230201.0,299.085,45.2016,1.4025600139308016e-14,1.580229960353543e-15,UCAC4 677-075397,299.0849516629,45.2013696247,PM*,HighPM*,PM*|Er*|Ro*|NIR|*|MIR,8.9845,0.0209,18.217,16.18,15.975,12.353,11.737,11.523,,17.156,15.666,14.474,,111.30279926540152,363.0207579720629,3.434445522844899e+20,2.0789525700120864e+28,5.049424542673421e+31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671230201.0,298.731,45.0938,7.988430405993403e-15,5.303709928243484e-15,HD 188773,298.7318428994,45.0934819797,*,Star,NIR|*,4.3828,0.0107,10.93,10.39,,9.453,9.223,9.202,,,,,,228.1646436068267,744.1726750022816,7.040425253262755e+20,4.975870901848058e+28,1.0568358982960396e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671230201.0,298.989,44.9553,7.282469949071361e-15,4.8142100115416975e-15,ATO J298.9894+44.9555,298.9894963987,44.9555815877,EB*,EclBin,V*|Opt|NIR|*|EB*,0.8057,0.0203,16.615,15.432,15.461,13.671,13.22,13.091,,16.319,15.274,14.934,,1241.156758098548,4048.1072359439,3.829809581730173e+21,1.3422794088010633e+30,2.751495155713053e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671230201.0,298.779,45.3767,1.1659799848177076e-14,1.2176600060285342e-14,HD 188834,298.778932608,45.3762849238,*,Star,NIR|*,1.582,0.011,11.14,9.93,,7.91,7.428,7.305,,,,,,632.1112515802781,2061.668773704172,1.950491517067004e+21,5.5742839953630695e+29,1.753205296492966e+35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671310101.0,211.789,1.4068,7.356540100396727e-14,3.1219100113215326e-14,[VV2006] J140709.3+012419,211.7889415284,1.4055794902,QSO,QSO,Opt|*|QSO,0.3078,0.6117,20.09,19.75,,19.057,18.818,18.57,21.227,19.745,19.463,19.372,19.297,3248.862897985705,10596.361273554256,1.0024943404808317e+22,9.290676316737837e+31,3.3061483409070505e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671400101.0,147.257,76.312,1.684890020472313e-13,1.4315199687534724e-13,TYC 4542-1255-1,147.2569464958,76.312160146,PM*,HighPM*,PM*|NIR|*,2.8573,0.0142,11.88,11.53,,10.693,10.44,10.433,,,,,,349.9807510586918,1141.4832184229867,1.0799277569733666e+21,2.469282790644932e+30,8.747856859151554e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671510101.0,283.029,-0.219982,3.481559946615825e-15,1.992790062807959e-15,HD 174751,283.0289545792,-0.220246415,*,Star,UV|NIR|*|MIR,6.925,0.1078,8.5,8.25,,7.717,7.62,7.602,,,,,,144.4043321299639,470.983393501805,4.455852101083033e+20,8.686509040283938e+27,2.913542735702455e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671620101.0,241.287,32.6561,6.99122021125681e-13,2.0852099547378176e-14,RX J1605.2+3239,241.2869780338,32.6559761737,Sy1,Seyfert1,AGN|X|Opt|SyG|G|NIR|*|QSO|Q?|Sy1|Rad,0.3239,0.2981,18.58,18.02,,15.011,14.444,13.843,18.309,17.521,16.972,16.537,16.349,3087.372645878357,10069.651126891014,9.526636554492127e+21,7.97337224212824e+32,5.405832955833409e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671620101.0,241.305,32.975,3.3513299015248965e-14,7.374059621657967e-15,[VV2006] J160513.2+325829,241.3048843652,32.9749736073,QSO,QSO,AGN|X|Opt|NIR|*|QSO|Rad,0.0291,0.0816,18.48,18.25,,16.488,15.966,15.415,18.442,17.961,17.851,17.722,17.538,34364.26116838488,112081.0996563574,1.0603703024054984e+23,4.735241765549406e+33,2.416641873272198e+35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671700101.0,46.4577,-15.5229,1.5714700726679812e-14,2.8417000350733747e-15,2MASS J03054988-1531217,46.4578737863,-15.5226391277,*,Star,NIR|*,3.2145,0.0488,12.6,12.2,,11.068,10.719,10.576,,,,,,311.09037175299426,1014.6399128946958,9.599245854720796e+20,1.819659832568032e+29,4.002041593618472e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671700101.0,46.6085,-15.6373,6.791640190642384e-15,1.3696100299419593e-15,2MASS J03062593-1538138,46.6080559145,-15.6371816653,*,Star,NIR|*,4.4015,0.0124,13.0,12.6,,11.18,10.778,10.696,,,,,,227.19527433829373,741.0110189708053,7.010513643076223e+20,4.194538754681474e+28,1.611039118533925e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671700101.0,46.5969,-15.7099,3.128010088497774e-15,1.3762399685783556e-15,TYC 5865-1167-1,46.5970533678,-15.7098350669,*,Star,NIR|*,5.01,0.0152,12.22,11.68,,10.316,9.993,9.965,,,,,,199.6007984031936,651.0099800399202,6.159037085828343e+20,1.4910892782173173e+28,2.781077645466574e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671700101.0,46.6882,-15.6676,6.843349858006364e-15,3.874800074576317e-15,2MASS J03064508-1540034,46.6878518851,-15.6676428308,*,Star,NIR|*,4.1897,0.0157,13.4,13.0,,11.392,11.003,10.892,,,,,,238.68057378809937,778.4710122443133,7.364912953194739e+20,4.66459394100901e+28,1.3086986541403064e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671850201.0,298.802,0.760197,1.2846199798355327e-11,7.139020006662752e-14,2MASS J19551247+0045365,298.801999652,0.7602400002,CV*,CataclyV*,X|CV*|gam|NIR|*|MIR,6.0063,0.0616,15.6,16.0,16.0,,15.63,14.06,,,,,,166.49185022393152,543.0231590163661,5.137401694887035e+20,4.260608070724596e+31,2.9368769632228733e+31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671850201.0,298.883,0.584242,4.2946200117183544e-14,1.4691000423550787e-14,HD 188514,298.8827069569,0.5842995059,SB*,SB*,PM*|SB*|NIR|*,6.5983,0.1349,9.46,8.89,,7.802,7.543,7.495,,,,,,151.5541881999909,494.3030780655623,4.676473606838125e+20,1.180243405967817e+29,1.9224466325855383e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671850201.0,298.768,0.646232,9.268509794564412e-15,4.9290600558928545e-15,ATO J298.7681+00.6465,298.7682157714,0.646567392,EB*,EclBin,Opt|NIR|*|MIR|EB*|EB?,0.7707,0.0192,15.26,14.578,14.839,13.567,13.257,13.267,,14.878,14.397,14.183,,1297.5217334890358,4231.9449850785,4.003733722589853e+21,1.867025068668697e+30,4.136289690462651e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671850201.0,298.826,0.577502,7.313589939553482e-15,5.6987199315472635e-15,ATO J298.8263+00.5779,298.8263475308,0.5779804043,EB*,EclBin,V*|Opt|NIR|*|EB*,0.8601,0.0235,15.663,14.763,14.74,13.161,12.793,12.692,,15.2,14.522,14.25,,1162.6555051738171,3792.0706894547134,3.587580025578421e+21,1.1828881067906324e+30,4.134696625131418e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671850301.0,286.725,-20.8638,6.465239856066202e-15,4.578930093299344e-15,UCAC4 346-173801,286.725529749,-20.8639880342,PM*,HighPM*,PM*|NIR|*|MIR,11.0325,0.0176,15.834,14.564,14.275,11.34,10.733,10.498,,15.209,14.016,13.26,,90.6412871062769,295.6319963743485,2.796897874461817e+20,6.355470736312821e+27,9.363263419506918e+31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671871001.0,295.251,-15.4043,1.483890084647086e-14,4.279880029073531e-15,HD 185707,295.2510579701,-15.4045564483,PM*,HighPM*,PM*|NIR|*,20.3455,0.0214,8.86,8.24,,7.06,6.804,6.696,,,,,,49.15091789339166,160.30866776437048,1.5166388538005946e+20,4.289196592705413e+27,3.750396059896016e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671960101.0,73.9974,30.5671,1.6819900507114573e-12,1.1441300076136304e-14,V* SU Aur,73.9974445302,30.5670832245,Or*,OrionV*,Or*|V*|X|Y*O|NIR|IR|*|MIR|TT*|Em*,6.37,0.0303,10.33,9.3,9.17,7.199,6.558,5.99,,,,,,156.98587127158555,512.0188383045526,4.844077833594976e+20,4.959701188004137e+30,1.7830650113147874e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
